Date,META,TSLA,^VIX,MSFT,ORCL,SPY,GOOGL,NVDA,AAPL,AMZN
2020-02-04,208.37445068359375,59.137332916259766,16.049999237060547,170.631103515625,49.623409271240234,301.53857421875,71.7285385131836,6.150774002075195,76.8600082397461,102.4834976196289
2020-02-05,208.65249633789062,48.97999954223633,15.149999618530273,170.42274475097656,50.26620101928711,305.0206604003906,71.76029205322266,6.241121292114258,77.48676300048828,101.99349975585938
2020-02-06,209.38735961914062,49.930667877197266,14.960000038146973,173.9562225341797,50.238651275634766,306.0470886230469,73.24508666992188,6.327983856201172,78.39309692382812,102.5114974975586
2020-02-07,210.85708618164062,49.871334075927734,15.470000267028809,174.20248413085938,50.247840881347656,304.4159240722656,73.40091705322266,6.261778831481934,77.32756042480469,103.96399688720703
2020-02-10,211.58201599121094,51.41866683959961,15.039999961853027,178.75912475585938,50.49576950073242,306.68853759765625,74.8673324584961,6.545014381408691,77.69482421875,106.69550323486328
2020-02-11,205.7527618408203,51.62533187866211,15.180000305175781,174.72354125976562,50.64269256591797,307.2200012207031,74.93679809570312,6.6674675941467285,77.22606658935547,107.54000091552734
2020-02-12,209.29798889160156,51.15266799926758,13.739999771118164,174.97933959960938,51.175289154052734,309.1993408203125,75.3620834350586,6.783200740814209,79.06001281738281,108.0
2020-02-13,211.66148376464844,53.599998474121094,14.149999618530273,174.0320587158203,50.78962707519531,308.8694763183594,75.10205078125,6.739396572113037,78.49700927734375,107.49349975585938
2020-02-14,212.6942596435547,53.33533477783203,13.680000305175781,175.58558654785156,50.93654251098633,309.3644104003906,75.3670425415039,7.212531566619873,78.51634216308594,106.74349975585938
2020-02-18,216.28915405273438,57.22666549682617,14.829999923706055,177.36654663085938,50.91817855834961,308.5670471191406,75.40228271484375,7.381279468536377,77.07865905761719,107.78350067138672
2020-02-19,215.98130798339844,61.16133117675781,14.380000114440918,177.89849853515625,50.908992767333984,310.04241943359375,75.67174530029297,7.832512378692627,78.19498443603516,108.51100158691406
2020-02-20,213.0914764404297,59.96066665649414,15.5600004196167,175.18179321289062,50.9732780456543,308.7686767578125,75.28069305419922,7.6831793785095215,77.39277648925781,107.65499877929688
2020-02-21,208.72198486328125,60.06666564941406,17.079999923706055,169.64382934570312,50.211097717285156,305.5888977050781,73.61676025390625,7.319057941436768,75.6409912109375,104.79850006103516
2020-02-24,199.32763671875,55.58599853515625,25.030000686645508,162.3295440673828,48.347015380859375,295.4539489746094,70.46061706542969,6.80161714553833,72.04801940917969,100.4645004272461
2020-02-25,195.405029296875,53.32733154296875,27.850000381469727,159.6508331298828,46.79513168334961,286.5010070800781,68.79620361328125,6.522115707397461,69.60758209228516,98.63700103759766
2020-02-26,195.83206176757812,51.91999816894531,27.559999465942383,161.64559936523438,47.79605484008789,285.4472351074219,69.00213623046875,6.66149377822876,70.71182250976562,98.97949981689453
2020-02-27,188.43373107910156,45.266666412353516,39.15999984741211,150.25619506835938,46.62984848022461,272.62725830078125,65.25445556640625,6.290676593780518,66.0895004272461,94.21499633789062
2020-02-28,191.1348876953125,44.53266525268555,40.11000061035156,153.89437866210938,45.417728424072266,271.4818420410156,66.46033477783203,6.725745677947998,66.05084991455078,94.1875
2020-03-02,195.07733154296875,49.574668884277344,33.41999816894531,164.13436889648438,46.740047454833984,283.2388000488281,68.79620361328125,6.8841328620910645,72.20024108886719,97.69750213623047
2020-03-03,184.60047912597656,49.70066833496094,36.81999969482422,156.26910400390625,44.857582092285156,275.12890625,66.38442993164062,6.621646881103516,69.90721130371094,95.44950103759766
2020-03-04,190.42979431152344,49.96666717529297,31.989999771118164,162.00656127929688,46.40945053100586,286.6934814453125,68.56195831298828,7.085354328155518,73.14983367919922,98.79149627685547
2020-03-05,183.885498046875,48.30266571044922,39.619998931884766,157.94097900390625,44.077049255371094,277.1632995605469,65.24504089355469,6.805935382843018,70.77705383300781,96.20149993896484
2020-03-06,179.83380126953125,46.89866638183594,41.939998626708984,153.47642517089844,43.49853515625,272.5814514160156,64.30115509033203,6.625382900238037,69.837158203125,95.05449676513672
2020-03-09,168.32421875,40.53333282470703,54.459999084472656,143.07492065429688,42.24968338012695,251.2943572998047,60.333641052246094,6.112367153167725,64.31355285644531,90.03050231933594
