Ticker,k,n_test,df,alpha_known,beta_shift_vs_prev_k,RMSE,logscore,CRPS,coverage_50,coverage_80,coverage_90,coverage_95
NVDA,120,751,5.0,True,4.298581924044658e-05,0.031173741512941316,2.130521068273718,0.01631813314712621,0.4447403462050599,0.7443408788282291,0.8721704394141145,0.9454061251664447
NVDA,250,751,5.0,True,9.72126035710059e-05,0.03117874231951082,2.1306045222633925,0.016319089486378544,0.4447403462050599,0.7430093209054593,0.8748335552596538,0.9454061251664447
ORCL,0,751,5.0,False,,0.02676858546193103,2.4401866885809658,0.0123603043264721,0.49001331557922767,0.7470039946737683,0.8588548601864181,0.9254327563249002
ORCL,20,751,5.1065,True,5.3938036992576114e-05,0.026769242540673845,2.438707444194959,0.012360874142859985,0.49001331557922767,0.7470039946737683,0.8588548601864181,0.9254327563249002
ORCL,60,751,5.0,True,3.269832863831958e-05,0.02677042807591407,2.439854367715603,0.012361106810724661,0.4873501997336884,0.7470039946737683,0.8588548601864181,0.9254327563249002
ORCL,120,751,5.0,True,0.00013606485435070084,0.026773085784590835,2.4399532735114464,0.0123633664470975,0.48468708388814913,0.748335552596538,0.8615179760319573,0.9254327563249002
ORCL,250,751,5.0,True,0.00012793565392300453,0.02677450161844431,2.439321707615403,0.012364331994661047,0.48601864181091875,0.748335552596538,0.8575233022636485,0.9254327563249002
TSLA,0,751,5.0,False,,0.037768087073299546,1.8960197125679972,0.020281047929536975,0.4247669773635153,0.715046604527297,0.848202396804261,0.9254327563249002
TSLA,20,751,5.0,True,6.850697669939397e-05,0.03776991611275819,1.8959949059096826,0.02028149223591908,0.4247669773635153,0.7163781624500666,0.8495339547270306,0.9254327563249002
TSLA,60,751,5.0,True,0.00016645989620603764,0.03777204992895916,1.8951877046199725,0.020288875778528226,0.422103861517976,0.7123834886817576,0.848202396804261,0.9254327563249002
TSLA,120,751,5.0,True,7.004064114542836e-05,0.03777222267978808,1.895212912819031,0.020289123083069373,0.4194407456724368,0.711051930758988,0.848202396804261,0.9254327563249002
TSLA,250,751,5.0,True,5.391877712525046e-05,0.03777303912563203,1.8953535595370223,0.02028852313691393,0.4234354194407457,0.7137150466045273,0.848202396804261,0.9254327563249002
