model,protocol,Ticker,n,RMSE,OOS_R2_pct,DirAcc,DM_stat,DM_p,beats_baseline_5pct,significant_bh,significant_bonferroni
baseline_ticker_mean,expanding,ORCL,751,0.0267667262724194,0.0,0.5499334221038615,,,False,False,False
baseline_ticker_mean,expanding,TSLA,751,0.03779953354650949,0.0,0.5193075898801598,,,False,False,False
baseline_zero,expanding,AAPL,751,0.016112146465888627,-0.36248363551774077,0.45006657789613846,0.7725307789748054,0.44004349803951004,False,False,False
baseline_zero,expanding,AMZN,751,0.020105238524952634,-0.3297340924413694,0.46604527296937415,1.2136609314773001,0.22525928566672193,False,False,False
baseline_zero,expanding,GOOGL,751,0.019103579254548145,-0.48271231395669023,0.440745672436751,1.9842778133955248,0.04758894549787773,False,False,False
baseline_zero,expanding,META,751,0.02358268515696382,-0.2713221615890271,0.46870838881491345,1.4846073309291343,0.13806802364378679,False,False,False
baseline_zero,expanding,MSFT,751,0.014581030558277966,-0.413923768904767,0.4567243675099867,0.8908756259535044,0.3732815922900026,False,False,False
baseline_zero,expanding,NVDA,751,0.03142722907017259,-0.9351407465422623,0.44607190412782954,2.0039297368496056,0.04543676519865092,False,False,False
baseline_zero,expanding,ORCL,751,0.02678276630860625,-0.11988647428906596,0.45006657789613846,0.6320587584682242,0.5275411005769359,False,False,False
baseline_zero,expanding,TSLA,751,0.03782969397728653,-0.15964463326916256,0.4806924101198402,0.5818953555432927,0.5608120295641186,False,False,False
rf_pooled,expanding,AAPL,751,0.016034902964782112,0.5975084797468333,0.5179760319573902,-0.423493169244432,0.672056897812761,False,False,False
rf_pooled,expanding,AMZN,751,0.020133316804039545,-0.6101638315441082,0.5046604527296937,0.715354341087263,0.47461274735776726,False,False,False
rf_pooled,expanding,GOOGL,751,0.019144386690053392,-0.9124560027545137,0.5512649800266312,0.9938366604708397,0.32062292158251493,False,False,False
rf_pooled,expanding,META,751,0.023509645163951164,0.34883411030158795,0.4980026631158455,-0.42771634443694356,0.6689804289944468,False,False,False
rf_pooled,expanding,MSFT,751,0.014593144442820076,-0.5808403618409175,0.5286284953395473,0.5330213630819722,0.5941766913153352,False,False,False
rf_pooled,expanding,NVDA,751,0.03128019874698342,0.007087478250766832,0.5059920106524634,-0.009998388964838614,0.992025231602208,False,False,False
rf_pooled,expanding,ORCL,751,0.02674336430041997,0.17448362275487295,0.5446071904127829,-0.33163251958786716,0.740259407622349,False,False,False
rf_pooled,expanding,TSLA,751,0.03797031872410975,-0.9056778262079623,0.4940079893475366,1.662156870599169,0.09689918049940482,False,False,False
ridge_pooled,expanding,AAPL,751,0.016116559769280524,-0.4174720571069601,0.5166444740346205,0.4663425452750634,0.6411057467421846,False,False,False
ridge_pooled,expanding,AMZN,751,0.02007849484736036,-0.062997491247474,0.5512649800266312,0.09832950056280836,0.9216969265824035,False,False,False
ridge_pooled,expanding,GOOGL,751,0.0190812003805307,-0.24742940526705226,0.5512649800266312,0.43745814600461064,0.6619050625597738,False,False,False
ridge_pooled,expanding,META,751,0.023504252816431394,0.39454233667018945,0.5419440745672437,-0.90167256175376,0.36752029420256194,False,False,False
ridge_pooled,expanding,MSFT,751,0.014572523250045379,-0.2967848616053592,0.5552596537949401,0.5512869055358605,0.5816012075463775,False,False,False
ridge_pooled,expanding,NVDA,751,0.03134331229676491,-0.3968277539613485,0.5312916111850865,0.6219920531136076,0.5341361235739148,False,False,False
ridge_pooled,expanding,ORCL,751,0.026786249577804344,-0.14593062453669425,0.5206391478029294,0.3108801757476729,0.7559780958435942,False,False,False
ridge_pooled,expanding,TSLA,751,0.037908177202613386,-0.5756673590085581,0.507323568575233,1.392370705177056,0.16422284272330945,False,False,False
